pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,star_F,star_G,star_K,target,habitability_score,habitability_rank
1.23,195.89164,0.6693356,0.015,811.0,1.338589,5476.0,0.00432,0.011,False,True,False,1,0.9605547037509254,50
1.161,195.89164,0.669309686,0.0153019248,811.0,1.338589,5615.0,0.00432,0.011,False,True,False,1,0.9599281382424452,51
1.33,195.89164,0.675649,0.015,811.0,1.338589,5718.0,0.00432,0.011,False,True,False,1,0.9583181683564953,52
1.25,195.89164,0.9689678,0.02,811.0,1.338589,5617.0,0.00432,0.011,False,True,False,1,0.9566758352849686,53
1.47,195.89164,0.8374907,0.01685,811.0,1.338589,5708.0,0.00432,-0.15,False,True,False,1,0.9552610221954719,54
1.47,195.89164,0.8374907,0.01685,811.0,1.338589,5708.0,0.00432,-0.15,False,True,False,1,0.9552610221954719,55
1.47,195.89164,0.8374907,0.01685,811.0,1.338589,5708.0,0.00432,-0.15,False,True,False,1,0.9552610221954719,56
1.47,195.89164,0.8374907,0.01685,811.0,1.338589,5708.0,0.00432,-0.15,False,True,False,1,0.9552610221954719,57
1.1,195.89164,0.6773911,0.015,811.0,1.338589,5731.0,0.00432,0.011,False,True,False,1,0.9551922117056445,58
1.46,195.89164,0.8374912,0.01687,811.0,1.338589,5643.0,0.00432,-0.15,False,True,False,1,0.954415214218771,59
1.4807089,195.89164,0.837491,0.0172,811.0,1.338589,5627.0,0.00432,-0.15,False,True,False,1,0.9538234434049216,60
1.6,195.89164,1.0783902,0.019,811.0,1.338589,5242.0,0.00432,0.011,False,True,False,1,0.953734469402195,61
1.33,195.89164,0.6793614,0.015,811.0,1.338589,5609.0,0.00432,0.011,False,True,False,1,0.9534697664766462,62
1.55,195.89164,0.93875077,0.0189,811.0,1.338589,5825.0,0.00432,0.02,False,True,False,1,0.9532713966032174,63
1.45,195.89164,0.837491331,0.0168,811.0,1.338589,5627.0,0.00432,-0.15,False,True,False,1,0.9520519092191067,64
0.84,195.89164,1.116128999,0.02,811.0,1.338589,5674.0,0.00432,-0.325,False,True,False,1,0.9513737648567421,65
1.416,195.89164,0.837495,0.01684,811.0,1.338589,5627.0,0.00432,-0.15,False,True,False,1,0.9508575510410527,66
0.97,195.89164,0.677375164,0.0149,811.0,1.338589,5735.0,0.00432,0.02,False,True,False,1,0.9501578882420477,67
1.11,195.89164,0.665025941,0.0153,811.0,1.338589,5884.0,0.00432,0.16,False,True,False,1,0.9500273347121557,68
1.565,195.89164,0.87724,0.0177,811.0,1.338589,5679.0,0.00432,0.01,False,True,False,1,0.9496465355661253,69
1.12,195.89164,0.921056,0.018,811.0,1.338589,5822.0,0.00432,0.011,False,True,False,1,0.9488469667152322,70
1.038,195.89164,0.665026916,0.01523,811.0,1.338589,5909.0,0.00432,0.11,False,True,False,1,0.9488358863215778,71
1.63,195.89164,0.5773752,0.013,811.0,1.338589,5285.0,0.00432,0.011,False,True,False,1,0.9466338737809834,72
0.9,195.89164,0.677374687,0.015,811.0,1.338589,5718.0,0.00432,0.08,False,True,False,1,0.943381762075886,73
0.99,195.89164,0.638163204,0.0135,811.0,1.338589,5244.0,0.00432,0.02,False,True,False,1,0.9427830006218079,74
0.91,195.89164,0.638162933,0.0135,811.0,1.338589,5244.0,0.00432,0.02,False,True,False,1,0.9427830006218079,75
1.43,195.89164,0.837491225,0.0167,811.0,1.338589,5676.0,0.00432,-0.12,False,True,False,1,0.9417552363594086,76
1.21,195.89164,0.968527683,0.0191,811.0,1.338589,5580.0,0.00432,0.14,False,True,False,1,0.9405212620280369,77
1.627,195.89164,0.95965428,0.01802,811.0,1.338589,5300.0,0.00432,0.037,False,True,False,1,0.9400881074309546,78
1.27,195.89164,0.524175803,0.0123,811.0,1.338589,5278.0,0.00432,0.14,False,True,False,1,0.9394007113893285,79
1.67,195.89164,0.53835407,0.0127,811.0,1.338589,5539.0,0.00432,0.14,False,True,False,1,0.9391897525762569,80
1.49,195.89164,0.984941669,0.0201,811.0,1.338589,5825.0,0.00432,0.14,False,True,False,1,0.9370625969753774,81
1.31,195.89164,1.0662107,0.0204,811.0,1.338589,5752.0,0.00432,0.04,False,True,False,1,0.9369746547300104,82
1.397,195.89164,0.4465697,0.01064,811.0,1.338589,5615.0,0.00432,0.011,False,True,False,1,0.9362964661429704,83
1.7,195.89164,0.959641,0.01815,811.0,1.338589,5261.0,0.00432,0.04,False,True,False,1,0.9353645147857311,84
1.489,195.89164,0.837491331,0.01661,811.0,1.338589,5599.0,0.00432,-0.11,False,True,False,1,0.934842547119401,85
1.62,195.89164,0.921030497,0.0192,811.0,1.338589,5843.0,0.00432,0.14,False,True,False,1,0.9344742878363034,86
1.05,195.89164,0.935115863,0.0193,811.0,1.338589,5874.0,0.00432,0.16,False,True,False,1,0.93382874226356,87
0.89,195.89164,0.50565,0.0127,811.0,1.338589,5835.0,0.00432,0.12,False,True,False,1,0.9337840188953408,88
1.67,195.89164,0.959641,0.01796,811.0,1.338589,5261.0,0.00432,0.04,False,True,False,1,0.9336845471424609,89
1.45,195.89164,1.04562195,0.0192,811.0,1.338589,5344.0,0.00432,0.16,False,True,False,1,0.931977070837008,90
1.41792246,195.89164,0.4702743,0.0116,811.0,1.338589,5460.0,0.00432,0.146,False,True,False,1,0.9303316831485295,91
