,pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitability_score,habitable
4985,2.43818351,794.575,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,4.17,1.35,-6.741177275222223,0
4986,2.43818351,382.8,0.090706293,0.0044,0.06,4500.0,0.02,0.95,9.225,1.4,-5.581455053,1
4987,2.43818351,252.643067,0.322963997,0.0102,0.0017,5551.0,0.02,0.95,4.17,1.4,-7.040307467636165,0
4988,2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.52,5551.0,0.02,0.95,0.2,1.36,-6.741177275222223,0
4989,2.43818351,171.6282,4.4264,0.06,0.0,6174.0,0.19,1.15,4.17,1.24,-7.898116897519853,0
4990,2.43818351,597.5204,2.1461,0.03176,0.011,5300.0,0.18,0.827,0.578,0.935,-6.688463071774119,0
4991,2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.5305,5300.0,0.18,0.827,0.578,0.935,-6.392566164111112,0
4992,2.43818351,1.055,11.18465,0.04848,0.0,3442.0,0.02,0.141,4.17,0.2749999999999999,-4.105400070901512,1
4993,2.43818351,0.26,5.12338,0.02881,0.0,3442.0,0.02,0.141,4.17,0.2749999999999999,-4.108349918352851,1
4994,7.777125000000002,411.27202,1.4200242,0.02332,0.0,5013.0,0.171,0.803,4.17,0.838,-7.892800127667549,0
4995,7.777125000000002,233.92288,1.645321,0.0286,0.0,6124.0,0.016,1.254,3.2,1.156,-9.435063858386139,0
4996,7.777125000000002,792.635,1.33711647,0.02153,0.0,4645.0,0.02,0.776,5.0,0.743,-7.381957457173513,0
4997,7.777125000000002,1369.8473,2.5079204,0.03783,0.0,6007.0,-0.041,1.272,0.31,1.145,-9.271179664589704,0
4998,7.777125000000002,1728.9864384999996,1.8053564,0.02803,0.0,5215.0,0.103,0.849,0.17,0.896,-8.172649339476493,0
4999,7.777125000000002,1373.0256,2.8792319,0.04127,0.0,5747.0,0.377,1.076,0.53,1.128,-8.909552667599966,0
5000,7.777125000000002,212.31044,3.506195,0.0423,0.0,5052.0,-0.025,0.722,1.02,0.822,-7.944120423992252,0
5001,7.777125000000002,597.5204,2.032046,0.0352,0.0,6387.0,0.276,1.564,1.69,1.409,-9.799351855117711,0
5002,7.777125000000002,117.91493,3.71495,0.0474,0.0,5738.0,0.025,1.315,8.3,1.029,-8.896133370961596,0
5003,7.777125000000002,378.2177,1.540731,0.0234,0.0,4309.0,0.252,0.696,7.5,0.719,-6.915010352543756,0
5004,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,3850.0,0.02,0.95,0.0076,0.87,-4.3786772752222225,1
5005,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,0.0027,1.0,-6.741177275222223,0
5006,2.43818351,1334.886,92.086427889875,2.00484242875,0.0,5551.0,0.02,0.95,4.17,0.44,-6.741177275222223,0
5007,2.43818351,1.4,9.8658,0.0496,0.116,3442.0,-0.02,0.1967,5.0,0.2749999999999999,-4.105232108057307,1
5008,1.84,4.57,5.0066338,0.0464,0.25,4041.0,-0.19,0.569,3.0,0.577,-4.758201393342335,1
5009,7.777125000000002,1728.9864384999996,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,0.5,0.948,-8.342859722222222,0
5010,2.43818351,4.0,10.77,0.05366,0.33,3442.0,-0.2,0.2113,4.17,0.2749999999999999,-4.104623242747066,1
5011,0.977,176.0769375,0.71912603,0.00733,0.09,3442.0,0.07,0.123,6.6,0.2749999999999999,-3.6870161527577716,1
5012,2.43818351,1728.9864384999996,11.087324335,0.11415,0.09,5551.0,0.02,0.95,0.0021,0.948,-7.024718416158444,0
5013,7.777125000000002,1728.9864384999996,1.796,0.03,0.09,5551.0,0.02,1.45,4.17,1.1,-8.639020571497552,0
5014,7.777125000000002,1207.7,4.2,0.055,0.09,5551.0,0.02,1.18,4.17,1.24,-8.635271400867989,0
5015,2.43818351,527.5978,10.79,0.0968,0.09,4620.0,0.02,1.17,0.017,1.04,-5.734264785019804,1
5016,2.43818351,20.0,11.087324335,0.94,0.09,5551.0,0.02,0.95,4.17,0.586,-6.900868313581479,0
5017,7.22979255,147.1545524,23.624,0.163,0.105,5844.0,0.156,1.016,3.4,1.035,-8.861819693192723,0
5018,2.43818351,1554.18091,92.086427889875,2.0,0.5305,5844.0,0.156,1.016,3.4,1.035,-7.148847923332477,0
5019,7.777125000000002,942.0,92.086427889875,0.90281,0.0271,6050.0,0.34,1.3842,3.1,1.2384,-9.201183582365571,0
5020,7.777125000000002,617.22586,15.168865,0.1207,0.5305,5788.0,0.14,1.088,5.7,1.026,-8.954585247120164,0
5021,7.777125000000002,1582.785467,92.086427889875,0.641,0.5305,6166.0,0.09,1.397,3.2,1.271,-9.401557507977712,0
5022,7.777125000000002,201.50321,3.66003639,0.04922,0.039,5993.0,0.054,1.863,5.6,1.187,-9.250027098006433,0
5023,7.777125000000002,1728.9864384999996,76.8,0.369,0.448,5951.0,0.2,1.06,1.2,1.13,-9.14373737331624,0
5024,2.43818351,1728.9864384999996,92.086427889875,0.591,0.254,5951.0,0.2,1.06,1.2,1.13,-7.508762291125725,0
5025,6.21,19.2,4.21285367,0.0622,0.406,4900.0,0.09,1.9420000000000004,6.3,1.17,-7.259887473060008,0
5026,7.777125000000002,1379.375286,16.24921,0.1291,0.5305,5756.0,0.318,1.086,3.8,1.082,-8.908881081344187,0
5027,3.51,176.0769375,3.685504,0.04641,0.04,5638.0,-0.081,0.909,0.061,0.992,-7.47725544922964,0
5028,5.63,176.0769375,6.210291,0.06572,0.013,5638.0,-0.081,0.909,0.061,0.992,-8.110359589835365,0
5029,7.777125000000002,1017.050902,1.44044527,0.02065,0.009,3572.0,0.323,0.5299,7.4,0.563,-5.8918116502018965,1
5030,7.777125000000002,1728.9864384999996,69.048,0.33,0.018,5757.0,0.14,1.15,7.71,1.01,-8.880141635053912,0
5031,5.03,176.0769375,10.508843,0.08432,0.131,3998.0,-0.08,0.911,0.016,0.724,-5.649792429109193,1
