pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,rank
Kepler-1058 b,1,0.9997054,99.970535,1,2.12,239.0,0.77,4441.0,64
Kepler-1058 b,1,0.9997054,99.970535,1,2.12,239.0,0.77,4441.0,65
Kepler-1058 b,1,0.9997054,99.970535,1,2.11,239.0,0.77,4441.0,66
Kepler-309 c,1,0.9996706,99.967064,1,1.87,204.0,0.41,3883.0,67
TOI-700 d,1,0.999647,99.9647,1,1.144,268.8,0.852,3461.0,68
Kepler-22 b,1,0.99958783,99.958786,1,2.34,257.0,1.03,5516.0,69
Kepler-174 d,1,0.99957913,99.95792,1,2.29,212.0,0.48,4859.0,70
Kepler-1632 b,1,0.9995146,99.95146,1,1.66,232.0,0.68,6070.0,71
Kepler-1632 b,1,0.9995146,99.95146,1,1.66,232.0,0.68,6070.0,72
Kepler-1410 b,1,0.99945027,99.94503,1,2.15,290.0,1.06,3950.0,73
Kepler-1653 b,1,0.999443,99.9443,1,2.17,284.0,0.98,4807.0,74
Kepler-1362 b,1,0.99942833,99.94283,1,2.43,251.0,0.94,4650.0,75
Kepler-1362 b,1,0.99942833,99.94283,1,2.43,251.0,0.94,4650.0,76
Kepler-1362 b,1,0.99942833,99.94283,1,2.43,251.0,0.94,4650.0,77
Kepler-155 c,1,0.99912447,99.912445,1,1.97,286.0,1.03,4057.0,78
LHS 1140 b,1,0.9990835,99.908356,1,1.727,235.0,0.503,3216.0,79
Kepler-442 b,1,0.9987607,99.87607,1,1.56,260.0,1.08,4569.0,80
Kepler-442 b,1,0.9987607,99.87607,1,1.56,260.0,1.08,4569.0,81
Kepler-442 b,1,0.9987607,99.87607,1,1.56,260.0,1.08,4569.0,82
Kepler-296 f,1,0.998147,99.8147,1,1.23,199.0,0.37,3517.0,83
Kepler-296 f,1,0.998147,99.8147,1,1.23,199.0,0.37,3517.0,84
Kepler-296 f,1,0.998147,99.8147,1,1.23,199.0,0.37,3517.0,85
LP 890-9 c,1,0.9980229,99.80229,1,1.367,272.0,0.906,2850.0,86
Kepler-1649 b,1,0.9975442,99.754425,1,0.57,211.0,0.47,2703.0,87
Kepler-1649 b,1,0.9975442,99.754425,1,0.57,211.0,0.47,2703.0,88
Kepler-1649 b,1,0.9975442,99.754425,1,0.57,211.0,0.47,2703.0,89
LHS 1140 b,1,0.9973361,99.73361,1,1.43,230.0,0.46,3131.0,90
Kepler-452 b,1,0.997311,99.7311,1,1.63,265.0,1.1,5757.0,91
Kepler-1649 b,1,0.988897,98.8897,0,0.49,211.0,0.47,2703.0,92
