pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,disc_year,pl_density,escape_velocity_factor,tidal_heating_indicator,flux_variation,st_type_category,pl_type_category,stellar_compatibility_index,habitability_score_index,hz_conservative,habitable_candidate,hz_optimistic,st_type_category_F,st_type_category_G,st_type_category_K,st_type_category_M,st_type_category_Other,pl_type_category_jupiter,pl_type_category_neptune,pl_type_category_rocky,pl_type_category_super_earth
Kepler-872 b,2.578852119,0.0362,1.63,2.735939345648541,0.0,540.56,1230.0,5743.0,0.853,0.949,-0.14,4.553,2016,0.6317476743962512,1.2955656664574742,0.0,0.0,G,super_earth,0.96,0.41000000000000003,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-872 b,2.578855068,0.0362,1.6,2.633220116762752,0.0,544.85,1232.0,5751.0,0.854,0.945,-0.14,4.552,2016,0.6428760050690311,1.2828727812907716,0.0,0.0,G,super_earth,0.96,0.4139999999999999,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-872 b,2.578855068,0.0362,1.6,2.633220116762752,0.0,544.85,1232.0,5751.0,0.854,0.945,-0.14,4.552,2016,0.6428760050690311,1.2828727812907716,0.0,0.0,G,super_earth,0.96,0.4139999999999999,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-872 b,2.578855068,0.0362,1.6,2.633220116762752,0.0,544.85,1232.0,5751.0,0.854,0.945,-0.14,4.552,2016,0.6428760050690311,1.2828727812907716,0.0,0.0,G,super_earth,0.96,0.4139999999999999,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-873 b,20.5533844,0.1568,3.32,11.845256035068738,0.0,76.18,753.0,6343.0,1.137,1.213,0.07,4.411,2016,0.32369068472691587,1.8888748511571531,0.0,0.0,F,neptune,0.8883333333333333,0.28325,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-873 b,20.5533844,0.1568,3.32,11.845256035068738,0.0,76.18,753.0,6343.0,1.137,1.213,0.07,4.411,2016,0.32369068472691587,1.8888748511571531,0.0,0.0,F,neptune,0.8883333333333333,0.28325,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-873 b,20.5533844,0.1568,3.32,11.845256035068738,0.0,76.18,753.0,6343.0,1.137,1.213,0.07,4.411,2016,0.32369068472691587,1.8888748511571531,0.0,0.0,F,neptune,0.8883333333333333,0.28325,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-873 b,20.55331441,0.1542,3.19,10.909599487683282,0.0,74.49,749.0,6325.0,1.112,1.157,-0.04,4.409,2016,0.3360754260939243,1.8493072063544183,0.0,0.0,F,neptune,0.8933333333333332,0.284,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-874 b,40.0686727,0.2234,3.41,12.516243992560671,0.0,23.27,560.0,6026.0,0.992,0.924,-0.36,4.411,2016,0.3156536995504108,1.9158425780168193,0.0,0.0,F,neptune,0.84,0.276,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-874 b,40.0686727,0.2234,3.41,12.516243992560671,0.0,23.27,560.0,6026.0,0.992,0.924,-0.36,4.411,2016,0.3156536995504108,1.9158425780168193,0.0,0.0,F,neptune,0.84,0.276,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-874 b,40.0686713,0.2234,3.1,10.285018786256147,0.0,23.27,560.0,6026.0,0.992,0.924,-0.36,4.411,2016,0.3452391254491674,1.821468636997766,0.0,0.0,F,neptune,0.84,0.276,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-874 b,40.0686727,0.2234,3.41,12.516243992560671,0.0,23.27,560.0,6026.0,0.992,0.924,-0.36,4.411,2016,0.3156536995504108,1.9158425780168193,0.0,0.0,F,neptune,0.84,0.276,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-875 b,27.5071114,0.1771,2.58,7.045901933637241,0.0,24.71,569.0,5783.0,0.88,0.977,-0.08,4.539,2016,0.4102772882819333,1.6525645953244492,0.0,0.0,G,neptune,0.9700000000000001,0.2955,0,0,0,False,True,False,False,False,False,True,False,False
Kepler-875 b,27.5073799,0.1771,2.28,5.4619256597318735,0.0,24.71,569.0,5783.0,0.88,0.977,-0.08,4.539,2016,0.46083053049149025,1.5477665940660958,0.0,0.0,G,super_earth,0.9700000000000001,0.3248333333333334,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-875 b,27.5073799,0.1771,2.28,5.4619256597318735,0.0,24.71,569.0,5783.0,0.88,0.977,-0.08,4.539,2016,0.46083053049149025,1.5477665940660958,0.0,0.0,G,super_earth,0.9700000000000001,0.3248333333333334,0,0,0,False,True,False,False,False,False,False,False,True
