Planet_Name,Prediction,Habitability_Probability
Kepler-1294 b,1,0.99932384
Kepler-1294 b,1,0.99932384
Kepler-603 c,1,0.99932384
Kepler-1294 b,1,0.99932384
KIC 9663113 b,1,0.99932384
Kepler-950 b,1,0.9993086
Kepler-950 b,1,0.9993086
Kepler-950 b,1,0.9993086
Kepler-1036 b,1,0.99927336
Kepler-1036 b,1,0.99927336
Kepler-87 b,1,0.99927336
Kepler-30 d,1,0.99927336
Kepler-987 b,1,0.99927336
Kepler-30 d,1,0.99927336
Kepler-1036 b,1,0.99927336
Kepler-281 d,1,0.99927336
Kepler-30 d,1,0.99927336
Kepler-30 d,1,0.99927336
Kepler-139 c,1,0.99924564
Kepler-139 c,1,0.99924564
Kepler-139 c,1,0.99924564
PH2 b,1,0.9992384
Kepler-1040 b,1,0.9992279
Kepler-976 b,1,0.99922717
Kepler-867 b,1,0.99922717
Kepler-896 b,1,0.99922717
Kepler-1540 b,1,0.99922717
Kepler-985 b,1,0.99922717
Kepler-1097 b,1,0.99922717
Kepler-549 c,1,0.99922717
Kepler-976 b,1,0.99922717
Kepler-196 d,1,0.99922717
Kepler-1036 b,1,0.99922717
Kepler-1038 b,1,0.99922717
Kepler-976 b,1,0.99922717
Kepler-841 b,1,0.99922717
Kepler-397 c,1,0.99922717
Kepler-1780 b,1,0.99922717
Kepler-976 b,1,0.99922717
Kepler-976 b,1,0.99922717
Kepler-967 c,1,0.99922717
Kepler-1780 b,1,0.99922717
Kepler-251 e,1,0.9992254
Kepler-952 b,1,0.99921656
Kepler-950 b,1,0.99921656
Kepler-952 b,1,0.99921656
Kepler-51 d,1,0.99921656
Kepler-539 b,1,0.99921656
Kepler-799 b,1,0.99921656
Kepler-51 d,1,0.99921656
Kepler-51 d,1,0.99921656
Kepler-799 b,1,0.99921656
Kepler-799 b,1,0.99921656
Kepler-603 c,1,0.99921656
Kepler-51 d,1,0.99921656
Kepler-799 b,1,0.99921656
Kepler-1085 b,1,0.99921656
Kepler-1085 b,1,0.99921656
Kepler-1085 b,1,0.99921656
Kepler-302 c,1,0.99921656
Kepler-952 b,1,0.99921656
Kepler-1636 b,1,0.99921656
Kepler-1636 b,1,0.99921656
Kepler-1678 b,1,0.99921656
Kepler-51 d,1,0.99921656
Kepler-952 b,1,0.99921656
Kepler-1085 b,1,0.99921656
Kepler-952 b,1,0.99921656
Kepler-767 b,1,0.99921656
Kepler-1636 b,1,0.99921656
Kepler-767 b,1,0.9992065
Kepler-767 b,1,0.9992065
Kepler-767 b,1,0.9992065
Kepler-1554 b,1,0.99920195
Kepler-1554 b,1,0.99920195
Kepler-1554 b,1,0.99920195
Kepler-1550 b,1,0.999191
Kepler-1567 b,1,0.999191
Kepler-1567 b,1,0.999191
Kepler-1567 b,1,0.999191
Kepler-1550 b,1,0.999191
Kepler-1550 b,1,0.999191
Kepler-1634 b,1,0.9991886
Kepler-1634 b,1,0.9991886
Kepler-1634 b,1,0.9991886
Kepler-439 b,1,0.9991874
Kepler-1700 b,1,0.9991788
KOI-1783.02,1,0.9991788
Kepler-896 b,1,0.9991761
Kepler-896 b,1,0.9991761
Kepler-896 b,1,0.9991761
Kepler-1333 b,1,0.99913067
WASP-41 c,1,0.9991026
Kepler-1539 b,1,0.9990753
Kepler-1539 b,1,0.9990753
Kepler-1539 b,1,0.9990753
Kepler-1539 b,1,0.9990753
Kepler-1549 b,1,0.9990753
Kepler-1881 b,1,0.9990753
Kepler-1881 b,1,0.9990753
Kepler-1036 b,1,0.9990753
Kepler-1545 b,1,0.9990753
Kepler-1545 b,1,0.9990753
Kepler-1545 b,1,0.9990753
Kepler-1545 b,1,0.9990753
Kepler-1549 b,1,0.9990753
Kepler-1549 b,1,0.9990753
Kepler-1881 b,1,0.99904555
Kepler-310 d,1,0.99904555
Kepler-1881 b,1,0.99904555
Kepler-1881 b,1,0.99904555
Kepler-965 b,1,0.9990325
Kepler-22 b,1,0.9990243
Kepler-351 d,1,0.9990243
Kepler-1690 b,1,0.9990125
Kepler-1690 b,1,0.9990125
Kepler-1690 b,1,0.9990125
Kepler-1606 b,1,0.9990086
Kepler-1606 b,1,0.9990086
Kepler-1606 b,1,0.9990086
TOI-1736 c,1,0.998998
Kepler-1333 b,1,0.9989623
Kepler-1333 b,1,0.9989623
Kepler-1333 b,1,0.9989623
Kepler-62 e,1,0.9989623
Kepler-439 b,1,0.9989623
Kepler-1701 b,1,0.9989623
Kepler-1701 b,1,0.9989623
Kepler-1701 b,1,0.9989623
Kepler-439 b,1,0.9989623
Kepler-439 b,1,0.9989623
Kepler-1633 b,1,0.99894816
Kepler-1567 b,1,0.99894816
Kepler-1633 b,1,0.99894816
Kepler-315 b,1,0.9989336
Kepler-610 c,1,0.9988696
Kepler-1185 b,1,0.9988696
Kepler-1883 b,1,0.99886477
Kepler-1840 b,1,0.9987978
Kepler-22 b,1,0.9987978
Kepler-1701 b,1,0.9987978
Kepler-1552 b,1,0.9987978
Kepler-1653 b,1,0.9987978
Kepler-311 d,1,0.9987814
Kepler-69 c,1,0.9987814
Kepler-311 d,1,0.9987814
Kepler-965 b,1,0.9987657
Kepler-1632 b,1,0.9987657
Kepler-965 b,1,0.9987657
Kepler-1632 b,1,0.9987657
Kepler-1638 b,1,0.9987657
Kepler-965 b,1,0.9987657
Kepler-1638 b,1,0.9987657
Kepler-297 d,1,0.99856275
Kepler-297 d,1,0.99856275
Kepler-297 d,1,0.99856275
Kepler-540 b,1,0.9984956
Kepler-10 d,1,0.998487
eps Ind A b,1,0.99848205
KOI-351 g,1,0.99840003
KOI-351 g,1,0.99840003
KOI-351 h,1,0.99840003
KOI-351 h,1,0.99840003
KOI-351 h,1,0.99840003
Kepler-297 d,1,0.9982572
Kepler-289 e,1,0.9982572
KIC 9663113 b,1,0.9982572
Kepler-1746 b,1,0.99814665
TOI-4562 b,1,0.99814665
KOI-351 h,1,0.99814665
KOI-351 g,1,0.99814665
KOI-351 g,1,0.99814665
Kepler-111 c,1,0.99814665
Kepler-111 c,1,0.99814665
KOI-351 h,1,0.99814665
KOI-1783.02,1,0.99814665
Kepler-1746 b,1,0.99814665
Kepler-1981 b,1,0.99814665
Kepler-111 c,1,0.99814665
Kepler-111 c,1,0.99814665
Kepler-1981 b,1,0.99814665
PH2 b,1,0.99814665
PH2 b,1,0.99814665
PH2 b,1,0.99814665
Kepler-111 c,1,0.99814665
Kepler-1389 b,1,0.9980883
Kepler-1020 b,1,0.9980883
Kepler-1020 b,1,0.9980883
HD 80606 b,1,0.99777955
Kepler-539 b,1,0.9977526
Kepler-987 b,1,0.99759394
Kepler-51 d,1,0.99759394
Kepler-1533 b,1,0.99751234
Kepler-1533 b,1,0.99751234
Kepler-1533 b,1,0.99751234
Kepler-1678 b,1,0.9971438
Kepler-1678 b,1,0.9971438
Kepler-1678 b,1,0.9971438
Kepler-311 d,1,0.9971187
HD 80869 b,1,0.99708587
TOI-2088 b,1,0.9967834
