pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,st_spectype
,,4799.0,5.6,,,5198.0,,0.39,G8 V
2.08,7.81,0.7365437,0.01544,1958.0,4.78,5234.0,,0.31,
,8.13928,0.7365515,0.015690907,,,,,,
1.92,8.08,,0.01544,,6.3,5250.0,-0.19695,0.35,
,,,,,,5250.0,-0.19695,0.35,
1.897,7.74,0.737,,,6.25,5172.0,,0.35,
2.0,8.63,0.73654,0.01583,,5.9,,,,G8 V
,,0.73654604,,,,,,,
,,0.7365445,0.01583,,,5317.89,,0.3833,
2.173,8.37,0.736546,0.01583,,4.5,5250.0,-0.19695,0.35,
,,0.7365417,,,,,,,
,,0.736546,0.016,,,5198.0,,0.39,G8 V
,8.09479,0.7365478,0.015439,,,5250.0,-0.19695,0.35,
,,2.79674,0.0377,,,5250.0,-0.19695,0.35,
,,2.808,0.038,,,,,,
2.02311213,,0.73654625026,,1831.27,,5250.0,,,
1.91,8.08,0.736539,0.01544,,6.4,5250.0,-0.19695,0.35,
1.947,8.59,0.7365474,,,6.421,,,,
1.875,7.99,0.7365474,0.01544,,6.66,5172.0,,0.35,
,,0.73654625,,,,5234.0,,0.31,
1.856,,0.736543,,,,5272.0,,0.37,
,,260.7,0.775,,,5250.0,-0.19695,0.35,
,44.812,262.0,0.788,,,,,,
,,261.2,0.77,,,5250.0,-0.19695,0.35,
,,260.0,0.781,,,5250.0,-0.19695,0.35,
,47.0051,260.91,0.7733,,,5250.0,-0.19695,0.35,
,,260.98,0.792,,,5317.89,,0.3833,
,,259.88,0.7708,,,5172.0,,0.35,
,,260.58,0.802,,,5198.0,,0.39,G8 V
,,899.0,2.2,,,4978.0,1.176,-0.13,K0 IV
,,874.774,2.18,,,,,,
,,934.3,2.11,,,4938.0,,,
,,919.86,2.028,,,4941.0,1.1186,-0.17,K0 IV
,,4.215,0.050201,,,5577.0,-0.095,-0.01,G5 V
,,4.21487,0.04956,,,5585.57,,0.0275,
,,38.021,0.2175,,,5577.0,-0.095,-0.01,G5 V
,,38.0957,0.2151,,,5585.57,,0.0275,
,,123.01,0.476,,,5577.0,-0.095,-0.01,G5 V
,,735.1,1.758,,,4826.0,1.06258,0.21,
,,796.0,1.93,,,4794.52,,0.0882,
,,,1.8,,,,1.121,,
,,763.0,1.9,,,4792.0,1.053,0.21,K1 III
,,,2.205,,,,1.121,,
,,996.0,2.153,,,4826.0,1.06258,0.21,
,,116.6926,0.481,,,5439.0,0.4513,-0.09,
,,116.69335,0.4765,,,5481.86,,-0.0402,
,,116.688,0.481,,,5495.0,,,
,,116.689,0.456,,,,,,
,,116.6884,0.48,,,5531.0,,-0.06,
,2380.45,116.6884,0.484,,,5545.0,,-0.012,
,,691.9,2.1,,,4846.0,1.73,0.0,G3 III
,,696.62,1.912,,,4809.0,1.7145,0.1,G3 III
,,2051.62,3.929,,,4809.0,1.7145,0.1,G3 III
,,93.31,0.462,,,4847.0,1.72346,-0.03,
,,93.4,0.49,,,4847.4,,-0.03,K0
,,93.4,0.49,,,4847.0,,-0.03,
,,,2.17,,,,,,
,,1005.57,2.104,,,4734.0,1.76027,-0.11,G5 III
,,952.7,2.5,,,4785.0,1.778,-0.06,G5 III
,,181.4,0.7,,,4665.0,,-0.03,K0 III
,2860.455663,,93.9,,,9770.0,1.77085,,
,4290.5,,260.0,,,,,,K2 V
,1664.46736746,7520.0,7.99,1400.0,,6100.0,,,F8 V
,1017.0509024,8030.0,8.4,,,6130.0,,0.19,F8 V
,1147.36054927,8905.0,8.996,,,,,,F8
,1366.6621501,9060.0,9.3,,,6140.0,,,F8 V
,425.89006538,4168.69,4.01,,,3680.0,,,M V
4.203375,,8.46321,0.066,,4.4,3700.0,-1.04576,,
,,8.46321,,,,,,,
3.95677019,,8.46308,0.0649,600.0,,3678.0,-1.0381,0.23,
,20.12,8.4629991,0.0645,,1.32,,,,
,11.7,8.463,,,0.97,3700.0,-1.04576,,
4.02692583,,8.45367765822,,754.62,,3588.0,,,
,6.1,8.463446,,,,3665.0,-0.99,0.12,
4.07,17.0,8.463,0.0645,593.0,1.4,3700.0,,,
4.19,,8.4630004,0.0644,,,,,,
,10.2,8.4631427,,,,3665.0,-0.99,0.12,
,17.1,8.46321,,,1.3,3700.0,-1.04576,,M1
2.79,,18.858982,0.11,,,,,,
,9.6,18.858991,0.1101,,1.22,,,,
2.52202066,,18.85969,0.1108,459.0,,3678.0,-1.0381,0.23,
,11.6,18.859018,,,,3665.0,-0.99,0.12,
,22.2,18.859019,,,3.66,3700.0,-1.04576,,
3.24,13.6,18.859019,0.1101,454.0,2.3,3700.0,,,
,14.2,18.85882,,,,3665.0,-0.99,0.12,
,1.053,12.73596,,,,3678.0,-1.0381,0.23,
,21.1,33.11,,,,3665.0,-0.99,0.12,
,,33.39,,,,3665.0,-0.99,0.12,
,,481.9,1.3,,,4095.0,2.7,-0.71,
,6.2,1.271869,0.0208,1820.0,,4596.0,-0.7167,-0.05,K V
,,268.94,0.78,,,4864.0,,0.17,
,,268.94,0.777,,,5008.0,-0.32,0.1,K2 V
,,153.22,0.576,,,4649.0,1.57,-0.22,
,,137.48,0.539,,,4796.0,2.01,0.28,K0
,,379.63,1.45,,,4137.0,3.17,-1.0,K2 II
,,379.63,1.05,,,4259.0,,-0.79,
,,621.99,2.01,,,4137.0,3.17,-1.0,K2 II
,,578.2,1.3,,,4296.0,1.96,-0.46,K5 III
2.57807,22.2481,41.6855,,,,5766.0,,-0.15,
2.35545351,,41.688644,,,,5703.0,,-0.06,
2.23,16.3,41.6855,0.241,546.0,7.89,5766.0,-0.05552,-0.15,G
,,1887.76,4.65,,,4500.0,2.84,-0.03,
,,123.05,0.54,,,4500.0,1.99,-0.2,
,,307.88,0.83,,,5004.0,,-0.09,K1
,,392.6,1.0,,,4414.0,1.69,-0.2,K0 III
,,733.0,1.7,,,4534.0,1.64,-0.13,
,,2590.0,4.2,,,4943.0,1.47,-0.19,K0
,,265.59,0.78,,,5012.0,,0.18,K3
14.68376472,4767.426105,,1662.0,1303.0,,4993.0,0.35595,,K0
,,1198.48,2.06,,,5000.0,,-0.09,K0
,3305.4154328,1230.0,2.115,,,5000.0,,-0.09,K0
,,3.8728,0.0428,,,4324.0,-1.022,-0.14,K7/M0 V
,1523.03372634,3.873,,,,,,,
,,125.94,0.435,,,4324.0,-1.022,-0.14,K7/M0 V
,2948.49413174,5.6,,,,,,,
,,5.6,0.056,,,4746.0,,-0.07,K3 V
,,5.6,0.06,,,4816.0,,-0.06,
,,237.6,0.68,,,4746.0,,-0.07,K3 V
,,3.48777,0.0452,,,5393.0,,0.382,
,,3.48777,0.04,,,5393.0,,0.38,
,,3.487905,0.045,,,5382.64,,0.37,
,,3.487,0.046,,,5400.0,,0.5,K0 V
,,1634.0,2.36,,,4550.0,-0.8041,-0.35,
,,1667.0,2.28,,,4475.0,,-0.48,K7 V
,,74.2,0.3,,,4550.0,-0.8041,-0.35,
,,714.29999,1.66,,,4545.0,,-0.08,
,,714.3,2.1,,,,,,
21.59,3932.0,4.2889731,0.0656,2001.0,2.15,6935.0,1.06,-0.34,
20.7112,,4.2889696,,1404.0,,6736.9,,,
,1639.99458012,655.57,,,,,,,
,1366.6621501,649.0,,,,,,,
,,655.59998,1.34,,,4665.0,,0.01,
,,655.6,1.34,,,4714.0,-0.678,-0.03,K5 V
,,1891.0,2.63,,,4051.0,-0.86967,0.12,K7 V
,,6360.0,5.9,,,4051.0,-0.86967,0.12,K7 V
,1420.69297929,6374.0,5.96,,,,,,
,1525.5763536,6240.0,5.9,,,,,,K7 V
,,547.0,1.444,,,6033.0,,-0.02,
,8358.8871041,1823.5,3.634,,,,,,G3 V
,,3.1533,0.02294,400.0,,3195.0,-2.44977,-0.56,M3.5-4 V
,,3.1542,0.0229,438.0,,3195.0,-2.44977,-0.56,M3.5-4 V
,,4.1244,0.0274,400.0,,3195.0,-2.44977,-0.56,M3.5-4 V
,,2.3402,0.0188,483.0,,3195.0,-2.44977,-0.56,M3.5-4 V
