planet_radius_earth,planet_mass_earth,orbital_period_days,semi_major_axis_AU,equilibrium_temp_K,planet_density,star_temp_K,star_luminosity,star_metallicity,star_type
2.3,154.306465,4820.0,5.54,797.0,1.33,5317.89,-0.0828599999999999,0.3833,G0 V
2.3,154.306465,4545.0,5.28,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,5218.0,5.77,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,5574.2,5.957,797.0,1.33,5172.0,-0.0828599999999999,0.35,G0 V
2.3,154.306465,5360.0,5.9,797.0,1.33,5613.0,-0.0828599999999999,0.27,G8 V
2.3,154.306465,4517.4,5.257,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,4909.0,5.47,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,5370.0,5.84,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,4799.0,5.6,797.0,1.33,5198.0,-0.0828599999999999,0.39,G8 V
2.3,154.306465,10.3392924,0.10086,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,0.73654604,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,0.7365445,0.01583,797.0,1.33,5317.89,-0.0828599999999999,0.3833,G0 V
2.3,154.306465,0.7365417,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,0.736546,0.016,797.0,1.33,5198.0,-0.0828599999999999,0.39,G8 V
2.3,154.306465,2.79674,0.0377,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,2.808,0.038,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,0.73654625,0.10086,797.0,1.33,5234.0,-0.0828599999999999,0.31,G0 V
1.856,154.306465,0.736543,0.10086,797.0,1.33,5272.0,-0.0828599999999999,0.37,G0 V
2.3,154.306465,260.7,0.775,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,261.2,0.77,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,260.0,0.781,797.0,1.33,5250.0,-0.19695,0.35,G0 V
2.3,154.306465,260.98,0.792,797.0,1.33,5317.89,-0.0828599999999999,0.3833,G0 V
2.3,154.306465,259.88,0.7708,797.0,1.33,5172.0,-0.0828599999999999,0.35,G0 V
2.3,154.306465,260.58,0.802,797.0,1.33,5198.0,-0.0828599999999999,0.39,G8 V
2.3,154.306465,899.0,2.2,797.0,1.33,4978.0,1.176,-0.13,K0 IV
2.3,154.306465,874.774,2.18,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,934.3,2.11,797.0,1.33,4938.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,919.86,2.028,797.0,1.33,4941.0,1.1186,-0.17,K0 IV
2.3,154.306465,4.215,0.050201,797.0,1.33,5577.0,-0.095,-0.01,G5 V
2.3,154.306465,4.21487,0.04956,797.0,1.33,5585.57,-0.0828599999999999,0.0275,G0 V
2.3,154.306465,38.021,0.2175,797.0,1.33,5577.0,-0.095,-0.01,G5 V
2.3,154.306465,38.0957,0.2151,797.0,1.33,5585.57,-0.0828599999999999,0.0275,G0 V
2.3,154.306465,123.01,0.476,797.0,1.33,5577.0,-0.095,-0.01,G5 V
2.3,154.306465,735.1,1.758,797.0,1.33,4826.0,1.06258,0.21,G0 V
2.3,154.306465,796.0,1.93,797.0,1.33,4794.52,-0.0828599999999999,0.0882,G0 V
2.3,154.306465,10.3392924,1.8,797.0,1.33,5613.0,1.121,-0.0039,G0 V
2.3,154.306465,763.0,1.9,797.0,1.33,4792.0,1.053,0.21,K1 III
2.3,154.306465,10.3392924,2.205,797.0,1.33,5613.0,1.121,-0.0039,G0 V
2.3,154.306465,996.0,2.153,797.0,1.33,4826.0,1.06258,0.21,G0 V
2.3,154.306465,116.6926,0.481,797.0,1.33,5439.0,0.4513,-0.09,G0 V
2.3,154.306465,116.69335,0.4765,797.0,1.33,5481.86,-0.0828599999999999,-0.0402,G0 V
