habitability_score,predicted_class,actual_class
0.9999277379781926,1,1
0.9294842216500716,1,0
0.9259744097920495,1,0
0.9027800044987323,1,1
0.6176243606797379,1,0
0.46685315508863934,1,1
0.28057820914366594,1,0
0.21707330640241418,1,1
0.10412391788264547,1,0
0.09431091930842606,1,0
0.09359480997458251,1,0
0.07716177332604747,1,0
0.07628304176584473,1,1
0.06553661433491835,1,0
0.05580351765373677,1,0
0.055324208995152356,1,0
0.05389356405387212,1,0
0.04516020841207681,1,0
0.04181102766695046,1,0
0.03925704891308724,1,0
0.027039399719943832,1,0
0.026138524356177317,1,0
0.022618011745782807,1,0
0.018714702513060563,1,0
0.014800159238121426,1,0
0.013872954846663154,1,0
0.013398869398255858,1,0
0.012664109656918108,1,0
0.01016644962614922,1,0
0.009866911560670913,1,0
0.009705557228171518,1,0
0.009678193795696448,1,0
0.009045534023698239,1,0
0.008305179312951905,1,0
0.008188137778379224,1,0
0.007693372739952825,1,0
0.007530668478000712,1,0
0.007513692365731784,1,0
0.007178928192537207,1,0
0.007055708958390336,1,0
0.006488421123578142,1,0
0.006257446562690042,1,0
0.006057192914027872,1,0
0.006046871875998676,1,0
0.0059362915338213,1,0
0.005638225501233921,1,0
0.005426086712958174,1,0
0.0054000599668022516,1,0
0.005395524429564423,1,0
0.005299272104463744,1,0
0.004293834080583847,1,0
0.0039023367726519083,1,0
0.0038830117507032023,1,0
0.0038066225391809637,1,0
0.003702301972198405,1,0
0.003620386323043996,1,0
0.0036158120643201936,1,0
0.003507356802077842,1,0
0.0033512295638346034,1,1
0.0032216035071962164,0,0
0.0030635837139478005,0,0
0.003013781409968874,0,0
0.002927193162685447,0,0
0.0028449428478877644,0,0
0.002626551078726544,0,0
0.0025699917326549608,0,0
0.0025090630676130447,0,0
0.002506635843297586,0,0
0.0024585251220455083,0,0
0.0024056648686980094,0,0
0.0023820107765692355,0,0
0.002379684960711231,0,0
0.002293890923909537,0,0
0.0022430791686846893,0,0
0.002176584425980539,0,0
0.002087580481942698,0,0
0.002051251597691362,0,0
0.002050237662294314,0,0
0.0020145841934035287,0,0
0.0019746799056505784,0,0
0.0019699829408290344,0,0
0.0019430640354509306,0,0
0.0017986069433479739,0,0
0.0016726740855930121,0,0
0.0016669938862146397,0,0
0.0016444501866050378,0,0
0.0016242867984103309,0,0
0.0014577354248962104,0,0
0.0014046002866932828,0,0
0.0013839242487532002,0,0
0.0013505933568280165,0,0
0.0012888413729174012,0,0
0.0012408262302376102,0,0
0.001199484830899005,0,0
0.0011659278518776923,0,0
0.0010933696985314548,0,0
0.0010330304304479207,0,0
0.0009843064820696703,0,0
0.0009735577113452637,0,0
0.0009441771874025245,0,0
0.0009350315473008855,0,0
0.0009310660567805488,0,0
0.0008821653577019283,0,0
0.0008759737232651473,0,0
0.0008373798349307526,0,0
0.0008098974157165739,0,0
0.0008077012589428365,0,0
0.0007888451774050469,0,0
0.0006641394171521509,0,0
0.0006561031804451584,0,0
0.0006478982042673376,0,0
0.0006384516407666682,0,0
0.0006198371300713495,0,0
0.0006099896286922847,0,0
0.0005920837763781588,0,0
0.0005689619770078934,0,0
0.0005585091863340868,0,0
0.0005570158319980281,0,0
0.0005520670950081077,0,0
0.000535913204673151,0,0
0.0005358651636204923,0,0
0.0004952802462587003,0,0
0.0004731177446833206,0,0
0.0004581130098309499,0,0
0.00042806937396908324,0,0
0.0004243242670213513,0,0
0.0004232932346744539,0,0
0.00041896573613656147,0,0
0.0004161002360808781,0,0
0.00041460237461040896,0,0
0.0004038560260211062,0,0
0.000397240254693291,0,0
0.0003901726139562546,0,0
0.00038442879565343173,0,0
0.0003804091512785335,0,0
0.0003789666888231483,0,0
0.0003690765763678723,0,0
0.000349799237366386,0,0
0.00034951878250598183,0,0
0.0003460173844574541,0,0
0.0003455711045315867,0,0
0.0003418139095513009,0,0
0.0003394233095651958,0,0
0.00033914168131901406,0,0
0.00033477679964854265,0,0
0.00032395016889771524,0,0
0.00030643529507100206,0,0
0.000303101541562675,0,0
0.00030017965911648825,0,0
0.0002901862965336576,0,0
0.0002882874537121875,0,0
0.00027849234375803704,0,0
0.0002763250586791122,0,0
0.0002710600703690502,0,0
0.0002659508804312377,0,0
0.000257692801202931,0,0
0.00024950586497398764,0,0
0.0002454307162390296,0,0
0.0002437735168431038,0,0
0.00024098222243073672,0,0
0.00023690363734930406,0,0
0.00023468921957211025,0,0
0.00022669199227518794,0,0
0.00022547118453426974,0,0
0.0002246566846720279,0,0
0.00022460985484728602,0,0
0.0002223213495267397,0,0
0.00021732043391589886,0,0
0.00020880659655093107,0,0
0.00020760486294269293,0,0
0.00020546944257368777,0,0
0.00020481772946607282,0,0
0.00020350205692667205,0,0
0.0002027330459173132,0,0
0.000191515398636883,0,0
0.0001860559780186598,0,0
0.0001859672428844968,0,0
0.0001839869720308866,0,0
0.00017724040294108737,0,0
0.00017307523099883767,0,0
0.00017251195142510445,0,0
0.00017197899767063413,0,0
0.0001699582153526988,0,0
0.00016986438912646275,0,0
0.0001685530253386383,0,0
0.00016195403246124258,0,0
0.00015803901972683403,0,0
0.0001574605733354944,0,0
0.00015130876973916218,0,0
0.00015075426535318968,0,0
0.00014870928656071368,0,0
0.0001482046348833864,0,0
0.00014612597325762205,0,0
0.00014390476242645117,0,0
0.0001431418394849352,0,0
0.00014163761153479485,0,0
0.0001398149125308818,0,0
