Planet radius,Planet mass,Orbital period,Semi-major axis,Equilibrium temperature,Planet density,Host star temperature,Star luminosity,Star metallicity,Star type,habitability_score,orbital_stability
2.3,6356.56814,10.3392924,587.0,2506.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,0.7713852033711387,0.017613786030664394
2.3,1589.15,10.3392924,55.0,1250.0,1.33,5613.0,-0.08285999999999999,-0.0039,M8,0.7884520884520886,0.18798713454545454
2.3,1271.0,10.3392924,46.0,1150.0,1.33,2825.0,-2.56086,-0.0039,G0 V,0.7921299924729766,0.2247672260869565
2.3,603.877,416.0,0.92,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.8581519275121394,452.17391304347825
2.3,591.16083702,406.0,0.10086,797.0,1.33,29564.0,-0.08285999999999999,-0.0039,G0 V,10.685928699447409,4025.3817172318063
2.3,3813.940884,10.3392924,7493.0,1616.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,0.7701172391729966,0.0013798601895102095
2.3,3972.875,10.3392924,230.0,797.0,1.33,4045.0,-0.08285999999999999,-0.0039,K7 V,0.7755432318599655,0.0449534452173913
2.3,9534.85221,10.3392924,518.0,1600.0,1.33,5613.0,-0.08285999999999999,-0.0039,M3,0.7719234662832225,0.019960023938223936
2.3,2511.48007211,270.27,0.877,797.0,1.33,4415.0,-0.08285999999999999,-0.25,K1 III,1.9114462609611504,308.17559863169896
2.3,2256.5,269.3,0.87,797.0,1.33,4415.0,-0.08285999999999999,-0.25,K1 III,1.9206206931293308,309.5402298850575
2.3,774.86565627,1076.6,2.059,797.0,1.33,5829.16,-0.08285999999999999,0.0256,G0 V,1.2568680624024409,522.8751821272461
2.3,804.08,1078.0,2.1,797.0,1.33,5872.0,0.1978,0.04,G0 V,1.2473858819634853,513.3333333333333
2.3,826.32,1083.2,2.11,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G1 V,1.2451290550621086,513.3649289099527
2.3,778.6835,1076.6,2.1,797.0,1.33,5882.0,-0.08285999999999999,0.04,G0 V,1.2473858819634853,512.6666666666666
2.3,877.17,1100.8,2.11,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.2451290550621086,521.7061611374407
2.3,171.621,2391.0,3.6,797.0,1.33,5872.0,0.1978,0.04,G0 V,1.0489731835507867,664.1666666666666
2.3,425.87,7586.0,7.73,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G1 V,0.900561511853216,981.3712807244501
2.3,157.96071828,2287.0,3.404,797.0,1.33,5829.16,-0.08285999999999999,0.0256,G0 V,1.0649674386754766,671.8566392479436
2.3,521.22,14002.0,11.6,797.0,1.33,5872.0,0.1978,0.04,G0 V,0.8574023023247332,1207.0689655172414
2.3,479.92089457,19000.0,13.8,797.0,1.33,5829.16,-0.08285999999999999,0.0256,G0 V,0.8436591738889511,1376.8115942028985
2.3,635.66,10.3392924,13.2,700.0,1.33,5613.0,0.85,-0.027,F0 IV,0.8474155294543646,0.7832797272727273
