pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,disc_year,discoverymethod,default_flag
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2.3,10.3392924,15.0,797.0,5613.0,0.951815,0.019,-0.0039,2010,Imaging,1
2MASS J11011926-7732383 b,2MASS J11011926-7732383,2.3,10.3392924,266.0,2677.0,5613.0,0.951815,0.959,-0.0039,2024,Imaging,1
2MASS J11550485-7919108 b,2MASS J11550485-7919108,2.3,10.3392924,587.0,2506.0,5613.0,0.951815,0.959,-0.0039,2024,Imaging,1
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2.3,10.3392924,55.0,1250.0,5613.0,0.951815,0.024,-0.0039,2004,Imaging,1
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2.3,10.3392924,46.0,1150.0,2825.0,0.21887,0.188001,-0.0039,2004,Imaging,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.3,416.0,0.92,797.0,5613.0,0.951815,0.48,-0.0039,2015,Eclipse Timing Variations,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.3,406.0,0.10086,797.0,29564.0,0.203,0.48,-0.0039,2015,Eclipse Timing Variations,1
2MASS J21252752-8138278 b,2MASS J21252752-8138278,2.3,10.3392924,7493.0,1616.0,5613.0,0.951815,0.959,-0.0039,2024,Imaging,1
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2.3,10.3392924,230.0,797.0,4045.0,0.951815,0.6,-0.0039,2016,Imaging,1
2MASS J22501512+2325342 b,2MASS J22501512+2325342,2.3,10.3392924,518.0,1600.0,5613.0,0.951815,0.959,-0.0039,2018,Imaging,1
4 UMa b,4 UMa,2.3,270.27,0.877,797.0,4415.0,18.11,1.234,-0.25,2006,Radial Velocity,1
4 UMa b,4 UMa,2.3,269.3,0.87,797.0,4415.0,18.11,1.234,-0.25,2006,Radial Velocity,0
47 UMa b,47 UMa,2.3,1076.6,2.059,797.0,5829.16,1.136537,1.005192,0.0256,1996,Radial Velocity,0
47 UMa b,47 UMa,2.3,1078.0,2.1,797.0,5872.0,1.21334,1.06,0.04,1996,Radial Velocity,1
47 UMa b,47 UMa,2.3,1083.2,2.11,797.0,5613.0,0.951815,0.959,-0.0039,1996,Radial Velocity,0
47 UMa b,47 UMa,2.3,1076.6,2.1,797.0,5882.0,0.951815,1.063,0.04,1996,Radial Velocity,0
47 UMa b,47 UMa,2.3,1100.8,2.11,797.0,5613.0,0.951815,0.959,-0.0039,1996,Radial Velocity,0
47 UMa c,47 UMa,2.3,2391.0,3.6,797.0,5872.0,1.21334,1.06,0.04,2001,Radial Velocity,1
47 UMa c,47 UMa,2.3,7586.0,7.73,797.0,5613.0,0.951815,0.959,-0.0039,2001,Radial Velocity,0
47 UMa c,47 UMa,2.3,2287.0,3.404,797.0,5829.16,1.136537,1.005192,0.0256,2001,Radial Velocity,0
47 UMa d,47 UMa,2.3,14002.0,11.6,797.0,5872.0,1.21334,1.06,0.04,2009,Radial Velocity,1
47 UMa d,47 UMa,2.3,19000.0,13.8,797.0,5829.16,1.136537,1.005192,0.0256,2009,Radial Velocity,0
51 Eri b,51 Eri,2.3,10.3392924,13.2,700.0,5613.0,0.951815,1.75,-0.027,2015,Imaging,0
51 Eri b,51 Eri,2.3,9100.0,10.4,797.0,5613.0,0.951815,1.75,-0.0039,2015,Imaging,1
51 Eri b,51 Eri,2.3,11688.0,12.0,797.0,7295.0,1.48726,1.65,-0.0039,2015,Imaging,0
51 Eri b,51 Eri,2.3,14965.0,14.0,797.0,7295.0,1.48726,1.65,-0.0039,2015,Imaging,0
51 Peg b,51 Peg,2.3,4.2307969,0.05235,797.0,5760.76,1.186744,1.069296,0.2058,1995,Radial Velocity,0
51 Peg b,51 Peg,2.3,4.23077,0.052,797.0,5613.0,0.951815,0.959,-0.0039,1995,Radial Velocity,0
51 Peg b,51 Peg,2.3,4.230785,0.0527,797.0,5758.0,1.17561,1.03,0.18,1995,Radial Velocity,1
51 Peg b,51 Peg,2.3,4.2293,0.10086,797.0,5773.0,1.29,0.959,0.2,1995,Radial Velocity,0
51 Peg b,51 Peg,2.3,4.231,0.052,797.0,5613.0,0.951815,1.04,-0.0039,1995,Radial Velocity,0
55 Cnc B b,55 Cnc B,2.3,6.7994,0.044,797.0,3286.0,0.274,0.26,0.16,2025,Radial Velocity,1
55 Cnc B c,55 Cnc B,2.3,33.747,0.13,797.0,3286.0,0.274,0.26,0.16,2025,Radial Velocity,1
55 Cnc b,55 Cnc,2.3,14.647,0.115,797.0,5613.0,0.951815,0.959,-0.0039,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.465314,0.11339,797.0,5250.0,0.963515,0.9,0.35,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.653,0.115,797.0,5613.0,0.951815,0.95,0.27,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.65152,0.11522725,797.0,5613.0,0.951815,0.95,-0.0039,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.65162,0.115,797.0,5250.0,0.963515,0.9,0.35,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.651,0.1134,797.0,5250.0,0.963515,0.9,0.35,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.65126,0.1138,797.0,5250.0,0.963515,0.9,0.35,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.65171,0.1162,797.0,5317.89,0.964411,0.974708,0.3833,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.6516,0.1134,797.0,5172.0,0.943,0.905,0.35,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.6,0.113,700.0,5613.0,0.951815,0.959,-0.0039,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.651552,0.118,797.0,5198.0,0.98,1.015,0.39,1996,Radial Velocity,1
55 Cnc b,55 Cnc,2.3,14.648,0.11,797.0,5200.0,0.951815,0.85,0.23,1996,Radial Velocity,0
55 Cnc b,55 Cnc,2.3,14.67,0.115,797.0,5613.0,0.951815,0.95,-0.0039,1996,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,44.3446,0.24,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,44.373,0.23735,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,44.38,0.237,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,44.3936,0.247,797.0,5198.0,0.98,1.015,0.39,2004,Radial Velocity,1
55 Cnc c,55 Cnc,2.3,44.4175,0.241376,797.0,5613.0,0.951815,0.95,-0.0039,2004,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,44.3989,0.2373,797.0,5172.0,0.943,0.905,0.35,2004,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,44.3787,0.238,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,43.93,0.24,797.0,5613.0,0.951815,0.95,-0.0039,2004,Radial Velocity,0
55 Cnc c,55 Cnc,2.3,44.3827,0.2432,797.0,5317.89,0.964411,0.974708,0.3833,2004,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,4820.0,5.54,797.0,5317.89,0.964411,0.974708,0.3833,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,4825.0,5.503,797.0,5613.0,0.951815,0.95,-0.0039,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,4545.0,5.28,797.0,5613.0,0.951815,0.959,-0.0039,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,5218.0,5.77,797.0,5250.0,0.963515,0.9,0.35,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,5574.2,5.957,797.0,5172.0,0.943,0.905,0.35,2002,Radial Velocity,0
