planet_radius_earth,planet_mass_earth,orbital_period_days,semi_major_axis_AU,equilibrium_temp_K,planet_density,star_temp_K,star_luminosity,star_metallicity,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,star_M
0.5027422303473491,0.0,0.001939033638763146,0.017215143675369894,0.0,0.0,0.3001721170395868,0.7508111804959179,0.4625,0.0,0.49099099099099064,0.8220000000000001,False,True,False,False
0.5027422303473491,0.0,0.0019559695760059882,0.018863370801067817,0.0,0.0,0.2547332185886402,0.8022545960418277,0.40625,0.0,0.4166666666666665,0.71,False,True,False,False
0.5027422303473491,0.0,6.00412029343668e-05,0.01768606571128359,0.0,0.0,0.5545611015490532,0.3503522563446944,0.6225625,0.0,0.9070945945945943,0.79,False,True,False,False
0.5027422303473491,0.0,0.0030981844356570924,0.022542449206643535,0.0,0.0,0.11635111876075732,0.3503522563446944,0.65,0.0,0.1903153153153152,0.4599999999999999,False,False,True,False
0.5027422303473491,0.0,0.0030981842554875473,0.022395286070420507,0.0,0.0,0.07263339070567976,0.3503522563446944,0.6125,0.0,0.11880630630630629,0.47,False,True,False,False
0.5027422303473491,0.0,6.00412029343668e-05,0.022100959797974447,0.0,0.0,0.5545611015490532,0.3503522563446944,0.6225625,0.0,0.9070945945945943,0.49,False,True,False,False
0.5027422303473491,0.0,6.00412029343668e-05,0.009886419491463067,0.0,0.0,0.5545611015490532,0.3503522563446944,0.6225625,0.0,0.9070945945945943,0.68,False,True,False,False
0.5027422303473491,0.0,0.0011195624909667683,0.01128446928558184,0.0,0.0,0.3049913941480207,0.7239382764503131,0.49375,0.0,0.49887387387387383,0.775,False,False,True,False
0.5027422303473491,0.0,0.0011140372915825786,0.012093866534808496,0.0,0.0,0.27917383820998265,0.7089931258524681,0.475,0.0,0.456644144144144,0.83,False,False,True,False
0.5027422303473491,0.0,6.00412029343668e-05,0.04005486241718395,0.0,0.0,0.5545611015490532,0.3503522563446944,0.6225625,0.0,0.9070945945945943,0.0,False,True,False,False
0.5027422303473491,0.0,0.010351690209827187,0.04137933064319121,0.0,0.0,0.5545611015490532,0.3503522563446944,0.84375,0.0,0.9070945945945943,0.0,False,False,True,False
0.5027422303473491,0.0,0.010786499378756888,0.041085004370745144,0.0,0.0,0.43132530120481927,0.3373073082019577,0.94375,0.0,0.7055180180180183,0.0,False,True,False,False
0.5027422303473491,0.0,0.01060392757301845,0.04202684844257253,0.0,0.0,0.4399311531841652,0.3367768835902557,0.875,0.0,0.7195945945945943,0.0,False,True,False,False
0.5027422303473491,0.0,0.010648369514265179,0.04299812514164453,0.0,0.0,0.45989672977624774,0.3503522563446944,0.88125,0.0,0.7522522522522519,0.0,False,True,False,False
0.5027422303473491,0.0,0.01064836939415215,0.04064351496207606,0.0,0.0,0.5545611015490532,0.3503522563446944,0.6225625,0.0,0.9070945945945943,0.0,False,False,True,False
0.5027422303473491,0.0,0.010606389890135317,0.04152649377941424,0.0,0.0,0.451958691910499,0.3503522563446944,0.87825,0.0,0.7392680180180178,0.0,False,True,False,False
0.5027422303473491,0.0,0.004793459742362564,0.024308406841319876,0.0,0.0,0.6017211703958691,0.3503522563446944,0.6625,0.0,0.9842342342342341,0.3400000000000001,False,True,False,False
0.5027422303473491,0.0,0.004793459742362564,0.02461744942738824,0.0,0.0,0.5755593803786574,0.3503522563446944,0.64875,0.0,0.9414414414414409,0.3189999999999999,False,True,False,False
0.5027422303473491,0.0,0.004799465393867118,0.024602733113765936,0.0,0.0,0.6006884681583478,0.38535445187513845,0.6625,0.0,0.9825450450450455,0.32,False,True,False,False
0.5027422303473491,0.0,0.004807272740823037,0.023425428023981707,0.0,0.0,0.6051635111876075,0.3503522563446944,0.65625,0.0,0.9898648648648649,0.3999999999999999,False,True,False,False
0.5027422303473491,0.0,0.00479916511129189,0.024543867859276723,0.0,0.0,0.5886299483648882,0.3503522563446944,0.6711875,0.0,0.9628209459459462,0.324,False,True,False,False
0.5027422303473491,0.0,0.004799465393867118,0.024602733113765936,0.0,0.0,0.5545611015490532,0.3503522563446944,0.6225625,0.0,0.9070945945945943,0.32,False,True,False,False
0.5027422303473491,0.0,0.0034714957331801618,0.021217980980636274,0.0,0.0,0.05335628227194489,0.8044598412223469,0.61875,0.0,0.08727477477477485,0.55,False,False,True,False
0.5027422303473491,0.0,6.00412029343668e-05,0.037258762828946405,0.0,0.0,0.5545611015490532,0.3503522563446944,0.6225625,0.0,0.9070945945945943,0.0,False,True,False,False
0.5027422303473491,0.0,0.0059006015972270735,0.03631691875711902,0.0,0.0,0.33666092943201376,0.6838649884783226,0.5875,0.0,0.5506756756756759,0.0,False,True,False,False
0.5027422303473491,0.0,0.005963360655449661,0.038141741646284574,0.0,0.0,0.3363166953528398,0.6777116743931204,0.5925,0.0,0.5501126126126126,0.0,False,True,False,False
0.5027422303473491,0.0,0.00018022214253039743,0.002675425816534662,0.0,0.0,0.30671256454388973,0.7111595120870751,0.14375,0.0,0.501689189189189,0.1899999999999999,False,True,False,False
0.5027422303473491,0.0,0.00018009842610940363,0.0027342910710238732,0.0,0.0,0.28020654044750426,0.7311252384967806,0.13749999999999996,0.0,0.4583333333333335,0.1939999999999999,False,True,False,False
0.5027422303473491,0.0,0.0027173060172382846,0.01949617228682684,0.0,0.0,0.3772805507745267,0.5926105828453297,0.60625,0.5076140488977042,0.6171171171171173,0.667,False,True,False,False
0.5027422303473491,0.0,0.005300937294497367,0.030489258562687086,0.0,0.0,0.3772805507745267,0.5926105828453297,0.60625,0.0,0.6171171171171173,0.0,False,True,False,False
