rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
12500,WASP-138 b,WASP-138,0.0008793444121936035,0.08793444121936035,0,0,2016
12501,TOI-2169 A b,TOI-2169 A,0.0008792622193301306,0.08792622193301305,0,0,2025
12502,TOI-1937 A b,TOI-1937 A,0.0008791604212684861,0.0879160421268486,0,0,2023
12503,WASP-123 b,WASP-123,0.0008790493017078128,0.08790493017078128,0,0,2016
12504,TOI-3976 A b,TOI-3976 A,0.000878816304136645,0.08788163041366451,0,0,2023
12505,TOI-3464 b,TOI-3464,0.0008785467968976462,0.08785467968976463,0,0,2025
12506,WASP-21 b,WASP-21,0.0008784392582595835,0.08784392582595835,0,0,2010
12507,HAT-P-9 b,HAT-P-9,0.0008783504680889671,0.08783504680889671,0,0,2008
12508,WASP-188 b,WASP-188,0.0008782129641678092,0.08782129641678092,0,0,2025
12509,Kepler-359 d,Kepler-359,0.0008781905915666336,0.08781905915666337,0,0,2014
12510,WASP-66 b,WASP-66,0.0008779753731939088,0.08779753731939088,0,0,2012
12511,Kepler-718 b,Kepler-718,0.0008779382198941443,0.08779382198941443,0,0,2016
12512,Kepler-855 b,Kepler-855,0.0008778469791680135,0.08778469791680135,0,0,2016
12513,NGTS-24 b,NGTS-24,0.0008772822402726947,0.08772822402726947,0,0,2022
12514,WASP-61 b,WASP-61,0.0008768364297610751,0.0876836429761075,0,0,2012
12515,HATS-3 b,HATS-3,0.0008766302927422183,0.08766302927422183,0,0,2013
12516,WASP-47 b,WASP-47,0.0008766285890433711,0.08766285890433712,0,0,2012
12517,Kepler-720 b,Kepler-720,0.0008764977910818919,0.08764977910818919,0,0,2016
12518,HAT-P-6 b,HAT-P-6,0.000876435696393742,0.0876435696393742,0,0,2007
12519,HAT-P-24 b,HAT-P-24,0.0008764045159077265,0.08764045159077265,0,0,2010
12520,WASP-161 b,WASP-161,0.0008761669265312267,0.08761669265312266,0,0,2018
12521,CoRoT-19 b,CoRoT-19,0.0008760431995813702,0.08760431995813701,0,0,2011
