pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitable,predicted_habitability_score,habitability_score
1.8,176.0769375,63.33627,0.255,0.33,3740.0,-0.08,0.48,4.17,0.498,1,1.0,1.0
1.24,176.0769375,31.200751,0.172,0.09,4710.0,0.02,0.672,4.17,0.948,1,0.9966666666666668,1.0
2.43818351,1728.9864384999996,92.086427889875,1.3,0.2,4095.0,-0.38,1.9420000000000004,5.2,1.14,1,0.9966666666666668,1.0
1.64,176.0769375,20.306546,0.122,0.09,4321.0,0.02,0.546,4.17,0.948,1,1.0,1.0
2.43818351,1589.15,92.086427889875,1.7,0.24,4155.0,-0.09,1.9420000000000004,1.6,1.5950000000000002,1,1.0,1.0
0.81,176.0769375,4.159807,0.046,0.09,4632.0,0.02,0.666,4.17,0.948,1,1.0,1.0
0.81,176.0769375,3.173315,0.036,0.09,4498.0,0.02,0.586,4.17,0.948,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,1.45,0.15,4137.0,-0.38,1.9420000000000004,4.17,1.5950000000000002,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.18,4137.0,-0.38,1.9420000000000004,4.17,1.5950000000000002,1,1.0,1.0
0.86,176.0769375,13.297004,0.093,0.09,4498.0,0.02,0.586,4.17,0.948,1,1.0,1.0
1.17,176.0769375,0.4090677,0.0071,0.09,3442.0,0.02,0.31,4.17,0.29,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.5305,4500.0,-0.03,1.9420000000000004,4.17,1.5950000000000002,1,0.9933333333333332,1.0
0.98,176.0769375,28.122397,0.163,0.09,4632.0,0.02,0.666,4.17,0.948,1,0.9966666666666668,1.0
1.03,176.0769375,7.054346,0.061,0.09,4262.0,0.02,0.556,4.17,0.948,1,1.0,1.0
1.99,176.0769375,16.19697,0.11415,0.09,4455.0,-0.1,0.696,4.17,0.67,1,1.0,1.0
2.02,176.0769375,6.67199,0.11415,0.09,4455.0,-0.1,0.696,4.17,0.67,1,1.0,1.0
1.2,176.0769375,6.738975,0.056,0.09,3682.0,0.02,0.48,4.17,0.948,1,1.0,1.0
1.32,176.0769375,34.989262,0.177,0.09,4262.0,0.02,0.556,4.17,0.948,1,1.0,1.0
1.84,176.0769375,18.794234,0.111,0.09,3682.0,0.02,0.48,4.17,0.948,1,1.0,1.0
2.4566,176.0769375,11.07085,0.11415,0.09,4570.0,-0.238,0.7007,4.17,0.69,1,0.9933333333333332,1.0
2.43818351,1728.9864384999996,92.086427889875,1.81,0.21,4745.0,0.05,1.9420000000000004,4.17,1.5950000000000002,1,1.0,1.0
2.43818351,3.68,32.509,0.1513,0.087,3563.0,-0.109,0.4232,4.6,0.437,1,1.0,1.0
2.13,176.0769375,14.28226676,0.11415,0.09,4201.0,-0.09,0.61,3.47,0.64,1,1.0,1.0
1.98,3.17,18.8027,0.105,0.071,3563.0,-0.109,0.4232,4.6,0.437,1,1.0,1.0
2.15,176.0769375,6.68796,0.0617,0.09,4613.0,0.02,0.643,4.17,0.702,1,0.9966666666666668,1.0
1.93,176.0769375,19.271566,0.114,0.09,3767.0,0.02,0.49,4.17,0.948,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,1.66,0.21,4545.0,-0.08,1.9420000000000004,4.17,1.5950000000000002,1,0.9966666666666668,1.0
2.46,176.0769375,37.6327084,0.11415,0.09,4098.0,0.02,0.61,4.47,0.63,1,0.9966666666666668,1.0
1.29,176.0769375,24.158868,0.106,0.11,3442.0,0.02,0.330989,4.17,0.2749999999999999,1,1.0,1.0
2.23,176.0769375,3.340222,0.037,0.09,4255.0,0.02,0.554,4.17,0.948,1,1.0,1.0
2.52,4.46,10.8945,0.073,0.039,3563.0,-0.109,0.4232,4.6,0.437,1,1.0,1.0
1.55,176.0769375,4.617534,0.048,0.09,4503.0,0.02,0.619,4.17,0.948,1,1.0,1.0
2.25,176.0769375,18.4498,0.091,0.09,3442.0,-0.25,0.31,1.0,0.3,1,1.0,1.0
1.04,176.0769375,8.239493,0.057,0.13,3459.09,0.02,0.36001,4.17,0.360031,1,1.0,1.0
0.64,0.07,10.3134,0.0753,0.02,3841.0,-0.18,0.535,4.17,0.535,1,1.0,1.0
2.43818351,0.263,2.3402,0.0188,0.04,3442.0,-0.38,0.185,4.17,0.2749999999999999,1,1.0,1.0
2.43818351,0.193,6.7392,0.0381,0.04,3442.0,-0.38,0.185,4.17,0.2749999999999999,1,1.0,1.0
2.3,176.0769375,2.628113746,0.11415,0.09,4521.0,-0.02,0.68,3.63,0.72,1,1.0,1.0
2.76,13.2,7.493134,0.0657,0.0,4227.0,-0.1,0.672,6.7,0.679,1,0.9966666666666668,1.0
2.27,176.0769375,28.464515,0.154,0.09,4258.0,0.02,0.555,4.17,0.948,1,0.99,1.0
0.93,176.0769375,4.081423,0.044,0.09,4493.0,0.02,0.613,4.17,0.948,1,1.0,1.0
2.06,176.0769375,5.444017,0.0492,0.09,3778.0,-0.05,0.51,4.17,0.54,1,1.0,1.0
2.2,176.0769375,17.70632,0.11415,0.09,3442.0,0.09,0.28,4.17,0.2749999999999999,1,0.9966666666666668,1.0
2.6,176.0769375,13.733314,0.096,0.09,4484.0,-0.225,0.619,4.17,0.629,1,0.9933333333333332,1.0
2.26,176.0769375,5.53608151,0.11415,0.09,4098.0,0.02,0.61,4.47,0.63,1,1.0,1.0
2.11,8.32,3.294736,0.037,0.15,4089.0,0.31,0.58,0.8,0.59,1,0.99,1.0
1.01,176.0769375,11.419412,0.087,0.09,4493.0,0.02,0.613,4.17,0.948,1,1.0,1.0
0.78,176.0769375,1.2137672,0.0116,0.09,3442.0,-0.33,0.17,4.5,0.2749999999999999,1,1.0,1.0
0.73,176.0769375,0.45328509,0.006,0.09,3442.0,-0.33,0.17,4.5,0.2749999999999999,1,1.0,1.0
2.59,176.0769375,12.2854603,0.11415,0.09,4098.0,0.02,0.61,4.47,0.63,1,1.0,1.0
0.57,176.0769375,1.865169,0.0154,0.09,3442.0,-0.33,0.17,4.5,0.2749999999999999,1,0.9966666666666668,1.0
1.86,176.0769375,92.086427889875,0.242,0.34,4134.0,-0.3,0.559,1.3,0.575,1,0.9966666666666668,1.0
2.43818351,1728.9864384999996,92.086427889875,1.42,0.3,3943.0,-0.24,1.9420000000000004,4.17,1.5950000000000002,1,1.0,1.0
2.72,6.2,17.2559,0.11415,0.09,3914.0,-0.13,0.512,4.17,0.544,1,0.9966666666666668,1.0
1.68,176.0769375,2.613020856,0.11415,0.09,4128.0,-0.24,0.57,3.8,0.59,1,1.0,1.0
2.05,176.0769375,20.060548,0.122,0.09,4255.0,0.02,0.554,4.17,0.948,1,1.0,1.0
1.1,176.0769375,0.813143,0.11415,0.09,4460.0,-0.33,0.62,4.17,0.948,1,0.9833333333333332,1.0
2.104,176.0769375,4.1782745,0.0355,0.09,3442.0,0.02,0.404,0.21,0.4,1,0.9933333333333332,1.0
1.59,176.0769375,10.198545,0.081,0.09,4503.0,0.02,0.619,4.17,0.948,1,1.0,1.0
2.72,176.0769375,5.07803,0.0392,0.0,3442.0,0.02,0.334,2.0,0.312,1,1.0,1.0
2.415,6.28,2.4919863,0.0287,0.0,3476.0,0.05,0.508,4.17,0.512,1,1.0,1.0
1.65,176.0769375,2.787174,0.11415,0.09,3804.0,-0.1,0.46,4.17,0.49,1,1.0,1.0
2.02,176.0769375,7.676972,0.11415,0.09,3804.0,-0.1,0.46,4.17,0.49,1,1.0,1.0
1.076,176.0769375,2.231527,0.11415,0.09,3623.0,0.068,0.348,4.17,0.33,1,1.0,1.0
2.11,176.0769375,10.367437,0.11415,0.09,3779.0,0.26,0.52,4.17,0.56,1,1.0,1.0
1.64,176.0769375,92.086427889875,0.64,0.1,4340.0,-0.38,0.55,1.9,0.572,1,0.9966666666666668,1.0
